Filename,Touches
app/src/main/java/com/umarbhutta/xlightcompanion/adapter/DeviceListAdapter.java,10
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/model/Rows.java,11
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/model/Sensorsdata.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/control/adapter/DevicesListAdapter.java,16
app/src/main/java/com/umarbhutta/xlightcompanion/control/adapter/ResultAdapter.java,6
app/src/main/java/com/umarbhutta/xlightcompanion/settings/ShakeAdapter.java,6
app/src/main/java/com/umarbhutta/xlightcompanion/settings/UserMsgModifyAdapter.java,5
slidingmenu_library/src/main/java/com/jeremyfeinstein/slidingmenu/lib/CustomViewAbove.java,4
app/src/main/java/com/umarbhutta/xlightcompanion/SDK/Cloud/ParticleAdapter.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/control/ControlFragment.java,3
app/src/main/java/com/umarbhutta/xlightcompanion/control/adapter/ControlResultListAdapter.java,3
app/src/main/java/com/umarbhutta/xlightcompanion/control/adapter/EntryConditionListAdapter.java,5
app/src/main/java/com/umarbhutta/xlightcompanion/glance/GlanceFragment.java,30
app/src/main/java/com/umarbhutta/xlightcompanion/glance/WeatherDetails.java,3
app/src/main/java/com/umarbhutta/xlightcompanion/main/MainActivity.java,36
app/src/main/java/com/umarbhutta/xlightcompanion/main/SimpleDividerItemDecoration.java,4
app/src/main/java/com/umarbhutta/xlightcompanion/main/SimpleDividerMainItemDecoration.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/scenario/AddScenarioActivity.java,10
app/src/main/java/com/umarbhutta/xlightcompanion/scenario/ColorSelectActivity.java,9
app/src/main/java/com/umarbhutta/xlightcompanion/scenario/ScenarioFragment.java,19
app/src/main/java/com/umarbhutta/xlightcompanion/schedule/AddScheduleActivity.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/schedule/ScheduleFragment.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/schedule/ScheduleListAdapter.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/settings/FastBindingAdapter.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/settings/SettingListAdapter.java,5
app/src/main/java/com/umarbhutta/xlightcompanion/settings/SettingsFragment.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/model/DeviceInfoResult.java,6
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/model/Energysaving.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/control/adapter/DeviceNameAdapter.java,3
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/model/DeviceGetRules.java,4
app/src/main/java/com/umarbhutta/xlightcompanion/control/activity/dialog/DialogTemActivity.java,9
app/src/main/java/com/umarbhutta/xlightcompanion/control/adapter/DialogTemAddListAdapter.java,3
app/src/main/java/com/umarbhutta/xlightcompanion/control/adapter/DialogTemMiuListAdapter.java,3
cloudsdk/src/main/java/io/particle/android/sdk/cloud/ParallelDeviceFetcher.java,3
cloudsdk/src/main/java/io/particle/android/sdk/cloud/ParticleCloud.java,3
cloudsdk/src/main/java/io/particle/android/sdk/cloud/ParticleCloudException.java,3
cloudsdk/src/main/java/io/particle/android/sdk/cloud/Responses.java,3
cloudsdk/src/main/java/io/particle/android/sdk/cloud/models/DeviceStateChange.java,3
cloudsdk/src/main/java/io/particle/android/sdk/cloud/models/SignUpInfo.java,3
cloudsdk/src/main/java/org/kaazing/gateway/client/impl/bridge/BridgeUtil.java,3
cloudsdk/src/main/java/org/kaazing/gateway/client/transport/IoBufferUtil.java,3
cloudsdk/src/main/java/org/kaazing/net/impl/auth/DefaultDispatchChallengeHandler.java,3
cloudsdk/src/main/java/org/kaazing/net/sse/impl/legacy/EventSourceImpl.java,3
app/src/main/java/com/umarbhutta/xlightcompanion/location/BaiduMapLocationInfo.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/location/BaiduMapUtils.java,2
slidingmenu_library/src/main/java/com/jeremyfeinstein/slidingmenu/lib/CustomViewBehind.java,2
slidingmenu_library/src/main/java/com/jeremyfeinstein/slidingmenu/lib/SlidingMenu.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/control/bean/NewRuleInfo.java,2
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/model/RuleInfo.java,7
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/requests/RequestFirstPageInfo.java,8
app/src/main/java/com/umarbhutta/xlightcompanion/control/activity/dialog/DialogWeelActivity.java,7
app/src/main/java/com/umarbhutta/xlightcompanion/settings/ShowPicSelectBaseActivity.java,4
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/model/DeviceUser.java,5
app/src/main/java/com/umarbhutta/xlightcompanion/okHttp/requests/RequestDeviceRulesInfo.java,8
cloudsdk/src/androidTest/java/io/particle/android/sdk/cloud/ApplicationTest.java,1
cloudsdk/src/main/java/io/particle/android/sdk/cloud/ApiDefs.java,1
