Filename,Touches
gpslogger/src/main/res/drawable-mdpi/points.png,3
gpslogger/src/main/res/layout/fragment_simple_view.xml,20
gpslogger/src/main/res/drawable-mdpi/dark_mode.png,1
gpslogger/src/main/res/drawable-mdpi/reset.png,1
gpslogger/src/main/res/drawable-mdpi/translate.png,3
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/GeneralSettingsFragment.java,20
gpslogger/src/main/res/layout/spinner_dropdown_item.xml,5
gpslogger/src/main/res/values/arrays.xml,15
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/AutoEmailFragment.java,15
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/FtpFragment.java,11
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/OwnCloudSettingsFragment.java,13
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/PerformanceSettingsFragment.java,9
gpslogger/src/main/java/com/mendhak/gpslogger/ui/fragments/settings/OpenGTSFragment.java,12
gpslogger/src/main/java/com/mendhak/gpslogger/senders/owncloud/OwnCloudManager.java,20
gpslogger/src/test/java/com/mendhak/gpslogger/senders/owncloud/OwnCloudManagerTest.java,7
gpslogger/src/main/java/com/mendhak/gpslogger/ui/components/GpsLoggerDrawerItem.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/Files.java,20
gpslogger/src/main/java/com/mendhak/gpslogger/common/Session.java,33
gpslogger/src/main/java/com/mendhak/gpslogger/ui/components/CustomSwitchPreference.java,5
gpslogger/src/main/java/com/mendhak/gpslogger/MainPreferenceActivity.java,46
gpslogger/src/main/res/layout/custom_autocomplete_view.xml,3
gpslogger/src/main/res/layout/customurl_basicauthview.xml,5
gpslogger/src/main/res/layout/error_alertview.xml,5
gpslogger/src/main/java/com/mendhak/gpslogger/shortcuts/ShortcutCreate.java,12
gpslogger/src/main/java/com/mendhak/gpslogger/ui/components/SimpleTLSValidationDialog.java,1
gpslogger/src/main/java/com/mendhak/gpslogger/common/network/CertificateValidationWorkflow.java,8
